Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
33,Light against join pay might heavy.,2025-03-31,2025-04-04,5.02,Feature,High,Support,U05
34,Wonder art build federal hit.,2025-03-12,2025-03-14,6.62,Improvement,Low,Admin,U06
35,Vote issue scientist individual.,2025-03-13,2025-03-17,9.52,Bug,Medium,Support,U06
36,Leg address nature some.,2025-03-31,2025-04-01,8.51,Feature,High,Research,U07
37,While get although indeed generation happy understand.,2025-05-18,2025-05-24,5.89,Bug,Medium,Admin,U05
38,Interest degree close between expert.,2025-02-23,2025-03-05,8.99,Bug,Medium,Technical,U03
39,Fight television couple as age offer stay.,2025-03-29,2025-04-06,4.02,Bug,Medium,Support,U10
40,Share concern tell budget.,2025-04-25,2025-04-30,2.53,Feature,High,Research,U07
41,Away network position shoulder maintain.,2025-03-23,2025-03-27,2.77,Feature,Medium,Support,U09
42,Stand beyond hear main marriage them road.,2025-02-25,2025-03-05,6.6,Improvement,High,Research,U01
43,Well national pay clear piece.,2025-02-14,2025-02-18,7.11,Improvement,Medium,Research,U08
44,Case writer bar item.,2025-03-15,2025-03-23,8.5,Improvement,Medium,Research,U10
45,Provide board major well fast.,2025-02-05,2025-02-06,1.42,Bug,High,Support,U01
46,Remember lead this will action.,2025-02-15,2025-02-16,9.3,Feature,High,Support,U01
47,Risk Mr skill community as take deep.,2025-02-12,2025-02-18,8.72,Improvement,Medium,Technical,U05
48,International individual only.,2025-03-21,2025-03-31,3.14,Improvement,Low,Technical,U02
49,Environment fast marriage Mr popular beat force.,2025-04-24,2025-04-30,9.39,Improvement,Medium,Technical,U03
50,Fire music door art health rise opportunity.,2025-04-08,2025-04-09,9.92,Feature,High,Research,U05
51,Including avoid reason remain you answer.,2025-03-24,2025-03-25,9.22,Feature,Low,Technical,U05
52,To power still those live road key.,2025-02-04,2025-02-08,8.81,Feature,Medium,Research,U04
53,Imagine five think have.,2025-01-01,2025-01-07,6.97,Improvement,Low,Technical,U02
54,Prepare note central control change mission.,2025-05-04,2025-05-08,2.31,Bug,Low,Support,U03
55,Six environmental network fire ok home.,2025-04-10,2025-04-17,1.87,Bug,Medium,Admin,U01
56,Analysis project talk quality discover firm detail despite.,2025-04-13,2025-04-15,9.88,Improvement,Medium,Admin,U01
57,Admit continue find.,2025-04-09,2025-04-11,7.23,Bug,Low,Support,U04
58,May enter fine or final experience.,2025-03-15,2025-03-18,3.46,Improvement,Medium,Admin,U04
59,Represent either support success.,2025-02-27,2025-03-08,4.51,Feature,High,Research,U07
60,Relate society purpose.,2025-01-17,2025-01-20,7.95,Feature,Medium,Research,U03
61,Nearly capital design girl despite individual.,2025-01-20,2025-01-28,3.69,Improvement,Low,Support,U04
62,Time eat join star.,2025-01-27,2025-02-06,3.44,Feature,Low,Research,U07
63,Member experience partner crime floor.,2025-03-15,2025-03-24,4.65,Feature,High,Support,U04
64,Cold party not cup tonight.,2025-05-08,2025-05-10,3.73,Feature,Medium,Technical,U03
65,Affect interesting rest hold bring person.,2025-04-02,2025-04-11,1.67,Feature,Medium,Technical,U01
66,Ready high nearly film modern a.,2025-02-13,2025-02-15,7.27,Bug,High,Support,U06
67,Heart into explain institution approach serious.,2025-01-29,2025-01-31,2.35,Improvement,High,Technical,U01
68,Apply quite let.,2025-04-17,2025-04-26,9.57,Feature,Medium,Admin,U03
69,Meeting mention always interest result other someone.,2025-01-23,2025-02-02,2.86,Feature,Medium,Research,U04
70,Music run state energy interview last.,2025-01-05,2025-01-10,8.74,Feature,Low,Admin,U04
71,End answer apply.,2025-01-24,2025-01-29,3.61,Bug,Low,Technical,U01
72,Fact race TV half call.,2025-02-21,2025-03-03,2.59,Improvement,High,Support,U06
73,Wind watch pick generation.,2025-02-03,2025-02-07,7.06,Improvement,Low,Research,U08
74,Seven think around improve spend simple less.,2025-04-06,2025-04-08,9.08,Bug,High,Support,U06
75,Only act tonight.,2025-01-11,2025-01-21,7.75,Bug,Medium,Research,U08
76,Citizen ground indicate hundred foreign add wrong.,2025-04-22,2025-04-29,7.31,Feature,Medium,Research,U01
77,Station all wait right decision phone.,2025-04-03,2025-04-07,9.02,Improvement,High,Admin,U09
78,Station our evidence program.,2025-02-09,2025-02-12,6.43,Improvement,High,Research,U06
79,News exist above where day team military.,2025-03-29,2025-03-30,4.39,Improvement,Medium,Research,U06
80,Then able role shoulder rest lose.,2025-03-17,2025-03-23,1.92,Improvement,Medium,Research,U09
81,Brother both trial account vote beautiful.,2025-01-03,2025-01-04,8.75,Bug,Low,Admin,U01
82,From bank point.,2025-03-26,2025-03-28,4.48,Feature,Medium,Support,U02
83,South activity speech others catch Mrs.,2025-05-12,2025-05-16,7.89,Improvement,Low,Technical,U08
84,Seek his rich particularly yes catch.,2025-02-24,2025-03-03,9.89,Improvement,Medium,Technical,U10
85,Boy quite finish memory staff cup.,2025-05-21,2025-05-30,9.64,Bug,High,Support,U07
86,Dinner month lot piece.,2025-03-24,2025-03-28,1.35,Bug,Medium,Admin,U09
87,Law customer strong someone adult.,2025-03-16,2025-03-19,9.17,Bug,Low,Research,U08
88,Speak short someone star.,2025-01-06,2025-01-07,2.65,Feature,Low,Admin,U04
89,Picture himself inside understand will parent large.,2025-04-04,2025-04-13,4.87,Improvement,Low,Support,U06
90,Contain camera street work my allow director.,2025-03-30,2025-04-07,2.78,Feature,Medium,Research,U05
91,Property bed go rock support traditional prove.,2025-05-20,2025-05-26,7.97,Improvement,High,Technical,U09
92,War computer particularly trial entire.,2025-01-26,2025-01-31,4.64,Feature,Medium,Technical,U09
93,Allow prove force economic rest nation.,2025-01-15,2025-01-23,6.44,Feature,Medium,Research,U02
94,Method term current international keep worry fill.,2025-03-30,2025-04-01,4.97,Improvement,Medium,Support,U08
95,My beyond former end maybe according this care.,2025-02-17,2025-02-26,2.8,Improvement,High,Technical,U10
96,Kitchen item what save break against change.,2025-02-12,2025-02-15,3.64,Feature,Medium,Technical,U04
97,More day risk you good small everyone.,2025-03-05,2025-03-06,9.16,Feature,Low,Research,U09
98,Argue risk American true drug.,2025-02-17,2025-02-20,2.91,Feature,High,Support,U09
99,Dark need doctor ahead.,2025-01-06,2025-01-11,2.0,Bug,High,Technical,U06
100,Machine long protect walk yard.,2025-03-22,2025-03-30,3.48,Feature,Medium,Technical,U06
101,Country ability single loss lot value major.,2025-01-07,2025-01-14,2.88,Feature,Low,Technical,U02
102,Add out bring natural then economic.,2025-01-22,2025-01-26,8.27,Feature,High,Research,U07
103,Example PM trial news game crime.,2025-02-24,2025-02-26,2.37,Feature,Medium,Research,U06
104,Shake expert beautiful democratic audience decision.,2025-02-03,2025-02-11,1.03,Bug,Low,Research,U04
105,White meet draw summer become much trouble.,2025-02-10,2025-02-18,6.78,Improvement,Low,Research,U09
106,Imagine class offer lot dark old other.,2025-05-16,2025-05-19,7.21,Feature,High,Research,U10
107,Southern during thus.,2025-04-08,2025-04-14,6.71,Feature,Low,Technical,U07
108,At receive quickly art yet level.,2025-03-16,2025-03-17,3.02,Bug,High,Research,U01
109,Bag available sense power meeting reduce art.,2025-01-15,2025-01-21,6.27,Bug,High,Support,U01
110,Least see without evidence chance.,2025-01-26,2025-01-30,8.88,Improvement,Medium,Technical,U09
111,Consider PM number operation this into.,2025-02-08,2025-02-12,6.14,Improvement,Low,Admin,U01
112,Deep left without artist director check sister.,2025-04-30,2025-05-05,4.33,Improvement,High,Research,U05
113,War day run soon test support.,2025-02-28,2025-03-05,1.04,Feature,High,Support,U08
114,Gas often morning realize human.,2025-04-01,2025-04-02,5.01,Improvement,Low,Admin,U01
115,His lose try word particular how it.,2025-05-11,2025-05-17,1.68,Improvement,High,Technical,U06
116,None wife from they around.,2025-03-16,2025-03-20,1.8,Feature,Low,Technical,U04
117,Course start them threat care.,2025-04-16,2025-04-19,7.59,Feature,High,Admin,U05
118,Of modern article war.,2025-05-09,2025-05-13,8.07,Feature,Low,Technical,U03
119,Practice carry capital week.,2025-03-13,2025-03-16,1.08,Feature,Low,Technical,U04
120,Energy memory cold various forward.,2025-01-05,2025-01-09,6.43,Feature,Low,Support,U10
121,Laugh responsibility collection air school defense.,2025-01-10,2025-01-16,5.73,Improvement,Low,Admin,U09
122,World increase challenge side or.,2025-05-09,2025-05-12,7.97,Improvement,High,Admin,U05
123,Show PM wrong foot money.,2025-05-05,2025-05-15,1.73,Improvement,Medium,Research,U10
124,Thought middle could stay go.,2025-03-25,2025-03-30,2.9,Improvement,Medium,Research,U01
125,Nice low white.,2025-05-15,2025-05-21,7.89,Bug,Low,Research,U08
126,While safe she mean.,2025-03-14,2025-03-24,1.51,Feature,Low,Admin,U02
127,Interesting war radio idea room learn.,2025-03-27,2025-04-03,7.46,Feature,High,Research,U10
128,Despite seat crime recognize.,2025-02-19,2025-02-28,4.45,Bug,Low,Support,U03
129,Authority project wait news.,2025-03-13,2025-03-21,6.13,Improvement,Low,Support,U08
130,Performance probably rock ever.,2025-04-16,2025-04-25,6.82,Bug,Medium,Support,U05
131,Provide war perform study bad majority close.,2025-01-13,2025-01-18,9.13,Feature,High,Research,U03
132,Majority report include.,2025-02-27,2025-03-05,1.5,Bug,High,Admin,U02
133,Show available as quickly manage foot play company.,2025-03-08,2025-03-18,8.62,Bug,Low,Support,U09
134,Other where language trip.,2025-03-20,2025-03-21,2.21,Bug,Low,Research,U07
135,Glass speech possible front.,2025-01-22,2025-01-29,7.98,Feature,High,Technical,U02
136,Gas charge certainly happen raise.,2025-02-07,2025-02-14,3.23,Improvement,Low,Research,U01
137,Short risk whose instead along.,2025-02-22,2025-02-23,1.07,Improvement,Medium,Admin,U05
138,Organization purpose food imagine improve sound term.,2025-03-16,2025-03-26,5.23,Improvement,High,Research,U10
139,Door teacher executive reach business bring.,2025-04-01,2025-04-05,3.71,Feature,Medium,Research,U08
140,Receive gun happy until region economy car.,2025-05-18,2025-05-24,6.37,Feature,Low,Admin,U06
141,Choose any simple medical sense.,2025-01-05,2025-01-14,9.12,Bug,High,Technical,U02
142,Little watch son my light difficult.,2025-02-02,2025-02-11,3.08,Bug,High,Support,U06
143,Marriage part writer responsibility.,2025-01-14,2025-01-18,1.6,Improvement,Low,Admin,U10
144,Health garden job suddenly since sea evidence turn.,2025-03-25,2025-04-04,6.34,Improvement,Low,Support,U06
145,Side opportunity set four let beat while.,2025-05-12,2025-05-15,3.6,Feature,High,Support,U07
146,Story eye dream end.,2025-05-20,2025-05-25,7.03,Bug,Low,Research,U02
147,Election include exactly buy employee.,2025-03-01,2025-03-07,1.23,Improvement,Medium,Admin,U09
148,Capital nothing natural fact.,2025-05-11,2025-05-15,5.73,Improvement,Medium,Research,U06
149,Little recent growth wind.,2025-05-15,2025-05-16,7.15,Improvement,High,Research,U08
150,Media or kind store.,2025-03-19,2025-03-20,4.3,Feature,Medium,Technical,U05
151,Near reflect expect.,2025-04-28,2025-05-02,4.77,Feature,Low,Research,U04
152,Investment company hot behavior.,2025-05-05,2025-05-09,4.01,Bug,High,Admin,U01
153,Industry movie movie degree.,2025-01-22,2025-01-28,6.38,Feature,Medium,Technical,U09
154,Office find push.,2025-04-08,2025-04-18,6.52,Improvement,Low,Support,U09
155,Team race own his.,2025-01-13,2025-01-16,2.64,Feature,Medium,Technical,U02
156,Ago toward size late example.,2025-05-24,2025-05-29,6.65,Feature,Medium,Support,U06
157,Body piece challenge bar property hundred.,2025-03-15,2025-03-23,9.43,Feature,Low,Support,U08
158,Owner stay though position society forget boy.,2025-05-10,2025-05-13,8.8,Bug,High,Technical,U08
159,Property happy sort media total long.,2025-04-20,2025-04-24,6.91,Improvement,Medium,Admin,U10
160,Card every brother discover I especially hand.,2025-03-27,2025-04-02,5.65,Bug,High,Support,U02
161,Whose should single almost.,2025-02-27,2025-02-28,9.68,Improvement,Medium,Technical,U03
162,Between produce new indicate attorney paper area also.,2025-03-25,2025-03-30,1.5,Improvement,Low,Technical,U01
163,Smile measure gun.,2025-01-13,2025-01-17,7.77,Feature,High,Admin,U08
164,Visit improve two each year know but.,2025-04-02,2025-04-03,3.35,Feature,Low,Technical,U01
165,Least still inside have trade story side fill.,2025-04-08,2025-04-11,7.65,Feature,High,Technical,U10
166,Blood detail account child.,2025-05-23,2025-05-24,5.46,Feature,Medium,Admin,U02
167,Show hair real address.,2025-05-18,2025-05-22,9.77,Improvement,Low,Admin,U01
168,Shoulder agree determine total important throughout.,2025-03-14,2025-03-19,2.22,Feature,Low,Support,U06
169,Specific civil admit national real it.,2025-01-17,2025-01-23,6.5,Improvement,High,Support,U06
170,Thousand research blood.,2025-01-22,2025-01-27,9.2,Improvement,Low,Admin,U10
171,Story during yet.,2025-04-13,2025-04-21,7.84,Feature,Medium,Technical,U02
172,Pay song miss system.,2025-01-11,2025-01-20,4.32,Improvement,High,Research,U01
173,Attorney really seat city between.,2025-04-19,2025-04-23,5.94,Bug,High,Admin,U02
174,Surface short factor.,2025-01-17,2025-01-23,6.26,Improvement,Low,Admin,U07
175,Here smile high certainly phone near.,2025-04-15,2025-04-18,1.29,Improvement,High,Technical,U09
176,Name own start crime place act be.,2025-01-25,2025-01-26,9.86,Bug,Medium,Support,U01
177,Even risk sell size project girl.,2025-03-19,2025-03-27,3.52,Feature,Low,Technical,U04
178,Pm feel anyone ever sell.,2025-01-14,2025-01-15,3.88,Bug,Medium,Admin,U08
179,Various occur sea answer bring.,2025-01-27,2025-02-04,5.0,Bug,Low,Admin,U08
180,Tonight oil course.,2025-01-31,2025-02-06,3.82,Feature,High,Support,U02
181,Them something partner research president we.,2025-05-10,2025-05-20,7.52,Improvement,Medium,Support,U07
182,Dinner idea operation on.,2025-03-26,2025-03-31,9.99,Bug,High,Admin,U10
183,Similar cup event television issue foreign.,2025-02-26,2025-02-27,2.84,Feature,Low,Admin,U05
184,Director onto they before certainly run.,2025-05-25,2025-05-27,7.55,Feature,High,Research,U02
185,Summer generation situation throw work short behavior plan.,2025-02-24,2025-02-28,4.1,Bug,High,Technical,U01
186,Measure name relationship worry many each admit.,2025-01-18,2025-01-27,9.14,Feature,Medium,Admin,U01
187,She world PM evidence building.,2025-02-25,2025-03-04,9.69,Feature,Medium,Research,U06
188,Do fund court feel first month.,2025-01-18,2025-01-28,3.13,Improvement,High,Research,U07
189,Idea evening meeting trial.,2025-04-29,2025-04-30,3.01,Feature,Low,Research,U02
190,Rather establish natural the.,2025-03-28,2025-04-05,7.46,Improvement,High,Technical,U06
191,Worker fact magazine tend recent century.,2025-04-27,2025-04-28,9.67,Improvement,High,Support,U07
192,A clear run there option per.,2025-03-22,2025-03-28,8.88,Feature,Medium,Technical,U01
193,Send result interview let.,2025-05-13,2025-05-22,8.24,Feature,High,Research,U09
194,Watch approach book arm power seek.,2025-01-01,2025-01-03,4.87,Feature,High,Research,U08
195,So present thank one particular free.,2025-02-15,2025-02-24,1.89,Bug,Low,Research,U04
196,Guess power before successful purpose Mr.,2025-01-08,2025-01-17,5.88,Feature,Low,Admin,U04
197,With school loss public.,2025-03-07,2025-03-09,7.27,Improvement,Low,Research,U05
198,Show through mission hundred Mrs various score.,2025-01-20,2025-01-26,4.27,Bug,Low,Admin,U03
199,Within kid fill trip accept should local.,2025-04-15,2025-04-19,8.11,Bug,High,Technical,U04
200,Act never particular center serious.,2025-03-08,2025-03-18,9.0,Feature,Medium,Support,U06
201,Possible firm detail decide agree.,2025-05-07,2025-05-08,2.5,Feature,High,Support,U03
202,Along go network fire.,2025-03-27,2025-04-01,6.39,Improvement,Medium,Support,U06
203,North should middle small child.,2025-02-10,2025-02-17,2.3,Improvement,High,Technical,U05
204,Girl official blood military leg paper consumer.,2025-05-11,2025-05-19,1.43,Bug,Low,Support,U08
205,Foot step significant raise.,2025-01-31,2025-02-07,1.4,Feature,High,Research,U10
206,Argue drop place sea.,2025-01-20,2025-01-27,1.89,Improvement,Low,Support,U08
207,Person race open newspaper.,2025-05-22,2025-05-26,8.8,Bug,Medium,Technical,U10
208,Speech available indicate long.,2025-04-18,2025-04-25,8.49,Bug,Medium,Admin,U01
209,Box difference often information.,2025-02-03,2025-02-05,4.69,Feature,Medium,Technical,U10
210,Wide suddenly land learn whatever anything.,2025-03-05,2025-03-13,8.74,Feature,Medium,Research,U01
211,Perhaps fly maybe.,2025-05-23,2025-05-25,5.07,Feature,Low,Admin,U09
212,Leave skin street role his.,2025-05-08,2025-05-10,1.06,Feature,Medium,Admin,U03
213,At PM understand alone.,2025-03-17,2025-03-24,5.08,Bug,Medium,Support,U01
214,Color small analysis.,2025-03-17,2025-03-18,3.02,Bug,High,Technical,U03
215,Four agree run oil.,2025-04-29,2025-05-02,2.62,Bug,High,Admin,U10
216,Spend somebody coach rock.,2025-05-11,2025-05-21,2.08,Bug,Medium,Admin,U02
217,Today prepare apply kitchen clearly air.,2025-04-03,2025-04-11,2.0,Bug,Medium,Research,U01
218,Subject within card organization turn test number.,2025-05-13,2025-05-18,6.76,Improvement,Medium,Admin,U06
219,Together great ask girl son dream.,2025-01-26,2025-01-28,6.25,Feature,High,Technical,U04
220,Reach history dog.,2025-05-07,2025-05-09,7.97,Bug,High,Admin,U03
221,Fall administration front its.,2025-05-07,2025-05-14,7.4,Bug,High,Research,U03
222,Style run marriage hot other.,2025-04-19,2025-04-20,7.18,Improvement,Low,Research,U03
223,Town respond old simple conference the your.,2025-04-07,2025-04-12,8.47,Improvement,High,Technical,U05
224,Current strategy foot it ready various then.,2025-01-26,2025-01-30,6.01,Bug,Medium,Support,U03
225,Political feel money black until trouble.,2025-01-30,2025-02-07,8.37,Improvement,Low,Technical,U03
226,Central address consumer call law much.,2025-03-26,2025-04-04,9.15,Bug,Medium,Research,U03
227,Material until hour others design order.,2025-03-31,2025-04-09,3.5,Improvement,High,Support,U06
228,Process line gas ready toward table.,2025-02-19,2025-03-01,7.08,Bug,Low,Admin,U03
229,Ask pressure measure anyone must.,2025-02-20,2025-02-24,6.75,Improvement,High,Research,U07
230,Total stand coach again.,2025-01-09,2025-01-15,3.83,Improvement,Low,Technical,U04
231,We every million tough knowledge.,2025-05-19,2025-05-26,9.93,Feature,High,Technical,U10
232,Major authority morning go lawyer program evening.,2025-01-27,2025-02-02,8.16,Bug,High,Admin,U05
233,Area safe couple why decade.,2025-02-13,2025-02-21,9.79,Bug,Low,Admin,U02
234,Decide word work summer toward machine.,2025-03-28,2025-04-07,9.79,Bug,Medium,Support,U05
235,Including different marriage policy.,2025-03-25,2025-04-01,1.83,Feature,Medium,Research,U07
236,Bed maybe into half rate clear.,2025-05-16,2025-05-18,6.21,Bug,Low,Admin,U03
237,Condition through onto.,2025-02-13,2025-02-19,8.81,Bug,Medium,Research,U07
238,Kind benefit price child against.,2025-03-10,2025-03-14,3.96,Feature,Medium,Technical,U03
239,Ask impact carry represent both growth soon.,2025-03-22,2025-03-31,4.56,Improvement,Medium,Technical,U07
240,Newspaper student gun church another beyond.,2025-02-17,2025-02-21,9.67,Feature,High,Technical,U08
241,Six all full can.,2025-01-28,2025-01-30,1.9,Feature,Low,Technical,U09
242,Democratic admit new building action culture.,2025-01-04,2025-01-11,2.21,Feature,Low,Admin,U08
243,Future guess garden.,2025-05-07,2025-05-14,8.15,Feature,Medium,Technical,U04
244,Turn claim fall enjoy.,2025-03-24,2025-04-01,5.1,Feature,High,Technical,U08
245,Officer total back machine find.,2025-03-14,2025-03-17,2.46,Improvement,Medium,Support,U08
246,Join bed scientist pattern environment into treatment.,2025-01-02,2025-01-12,7.15,Bug,Low,Research,U03
247,Stand significant physical father adult.,2025-04-02,2025-04-11,7.8,Feature,Medium,Support,U06
248,Health gun during western.,2025-04-18,2025-04-26,4.06,Bug,Medium,Research,U06
249,Road main community interesting part.,2025-01-25,2025-01-30,3.58,Improvement,Medium,Admin,U05
250,Impact heavy network.,2025-02-05,2025-02-08,2.05,Bug,Low,Research,U02
251,Share spring east matter project.,2025-04-01,2025-04-11,8.93,Bug,High,Admin,U09
252,Though anyone enjoy quickly.,2025-01-07,2025-01-11,6.94,Bug,Medium,Technical,U08
253,Full deep character yes.,2025-04-02,2025-04-12,9.09,Feature,Low,Research,U05
254,Return we campaign above budget.,2025-04-28,2025-04-29,8.4,Feature,Medium,Research,U05
255,Front force bed enjoy.,2025-02-09,2025-02-13,6.06,Feature,Medium,Admin,U02
256,Of rest term thousand military still.,2025-05-06,2025-05-16,9.42,Bug,High,Admin,U04
257,About draw yard easy support finally image billion.,2025-04-09,2025-04-13,2.2,Feature,Low,Research,U07
258,Reflect fly into here something poor walk.,2025-01-03,2025-01-05,4.0,Bug,High,Technical,U09
259,Everything speech country head move what.,2025-03-19,2025-03-23,8.06,Bug,Medium,Support,U10
260,Investment half establish land.,2025-01-10,2025-01-19,1.09,Improvement,High,Support,U07
261,How test dream reason always per sign spring.,2025-02-10,2025-02-15,7.06,Feature,Low,Support,U07
262,Read remain speech free author be back.,2025-01-20,2025-01-28,2.99,Bug,Low,Support,U04
263,Over able lose learn like music idea newspaper.,2025-03-16,2025-03-19,8.46,Bug,High,Research,U08
264,Section though relate pressure chance politics.,2025-01-27,2025-02-01,1.1,Improvement,High,Admin,U07
265,Dinner for Republican ever.,2025-01-12,2025-01-13,2.36,Bug,High,Research,U02
266,Bed choice though.,2025-03-09,2025-03-12,5.7,Bug,Medium,Technical,U09
267,Newspaper moment step theory former community.,2025-01-01,2025-01-10,9.63,Improvement,Medium,Admin,U01
268,Second cause success yeah skill difficult despite candidate.,2025-04-03,2025-04-05,1.65,Feature,Low,Research,U05
269,Carry physical per author culture.,2025-02-04,2025-02-12,5.93,Feature,Low,Research,U09
270,Call we shake out you serious.,2025-03-17,2025-03-26,6.84,Bug,Medium,Admin,U05
271,I beyond shake attorney somebody could order lot.,2025-03-21,2025-03-31,6.02,Feature,Low,Technical,U04
272,Too skill worry theory.,2025-01-15,2025-01-23,1.84,Improvement,High,Research,U10
273,Above month seven.,2025-04-28,2025-05-02,6.96,Feature,High,Technical,U08
274,Recent western information travel.,2025-03-12,2025-03-22,6.28,Bug,Medium,Admin,U04
275,Form goal report sign.,2025-03-06,2025-03-12,2.69,Improvement,Medium,Technical,U06
276,Discover forward order picture threat.,2025-04-05,2025-04-15,7.57,Bug,Medium,Technical,U04
277,Note become film story statement.,2025-04-07,2025-04-16,2.91,Improvement,Medium,Admin,U01
278,Glass computer teach station inside.,2025-04-04,2025-04-13,8.53,Improvement,High,Support,U05
279,Executive tonight join determine.,2025-05-05,2025-05-12,4.58,Bug,Low,Technical,U09
280,Truth race how consider wish room according.,2025-04-14,2025-04-16,7.83,Improvement,Low,Support,U10
281,Street simply race parent.,2025-02-04,2025-02-08,5.66,Improvement,Low,Research,U01
282,End indeed firm guess gas answer behind.,2025-04-03,2025-04-05,4.31,Bug,High,Research,U09
283,Per stock floor across.,2025-05-12,2025-05-16,8.13,Improvement,Low,Research,U03
284,Everybody under religious spend certainly development study.,2025-01-20,2025-01-27,1.42,Improvement,High,Admin,U03
285,Need subject newspaper hope.,2025-05-11,2025-05-17,6.06,Feature,Low,Research,U01
286,Happy behavior soon.,2025-01-18,2025-01-25,6.41,Feature,Medium,Research,U03
287,Real his record.,2025-05-05,2025-05-09,7.89,Feature,Medium,Admin,U07
288,Subject stop officer doctor.,2025-04-27,2025-04-30,1.81,Improvement,Low,Research,U06
289,Fall bill remember either economic hotel institution.,2025-02-03,2025-02-13,4.68,Feature,High,Admin,U01
290,Machine security ready line good guy.,2025-03-30,2025-04-04,3.25,Feature,Low,Admin,U08
291,Lead in drop name administration part notice truth.,2025-05-26,2025-06-02,8.27,Bug,Medium,Admin,U03
292,Half which source bag although increase.,2025-01-20,2025-01-25,8.94,Bug,Medium,Technical,U06
293,Who Mr enough movie imagine worker.,2025-03-05,2025-03-07,5.12,Improvement,High,Admin,U03
294,Military mouth sound number.,2025-02-13,2025-02-17,9.44,Bug,Low,Technical,U09
295,If vote effort send argue weight method.,2025-02-17,2025-02-26,7.6,Bug,Medium,Support,U05
296,Interest including sign nor character special.,2025-02-22,2025-03-04,3.39,Feature,Low,Research,U08
297,Size similar sister painting do him a agent.,2025-01-19,2025-01-22,8.24,Improvement,Medium,Research,U07
298,First water whatever local movie prevent.,2025-05-06,2025-05-13,6.11,Bug,Low,Research,U03
299,Later sea population day lead yeah.,2025-05-15,2025-05-19,9.95,Bug,High,Research,U01
300,Turn write let production baby.,2025-03-05,2025-03-11,1.88,Improvement,Low,Admin,U09
301,With magazine free range year cover teacher.,2025-01-16,2025-01-19,6.42,Feature,Low,Research,U07
302,Policy fill mean every.,2025-03-06,2025-03-07,6.56,Bug,Medium,Support,U02
303,Blue already bag yet child.,2025-05-18,2025-05-24,7.05,Bug,Medium,Support,U07
304,Deep order few matter about arrive.,2025-05-22,2025-05-29,4.13,Bug,High,Support,U04
